Index,Source,P/C,,,,Count
272,"Harry How, Getty Images",Professional - getty,,,,4
273,"Richard Mackson, USA TODAY Sports",Professional - usa today sports,,,,7
274,"Brian Spurlock, USA TODAY Sports",Professional - usa today sports,,,,5
275,"Shane Keyser, TNS",Professional - tns,,,,3
276,"John Sleezer, TNS",Professional - tns,,,,2
277,"(Photo: Rick Danzl, AP)",Professional - ap,,,,1
278,"(Photo: Michael Hickey, Getty Images)",Professional - getty,,,,1
279,"(Photo: Mike Granse, Mike Granse-USA TODAY Sports)",Professional - usa today sports,,,,1
280,(Photo: Ram),Professional - tennessean,,,,3
281,"Mary Altaffer, AP",Professional - AP,,,,3
282,"Sarah Stier, Getty Images",Professional - getty,,,,4
283,"Adam Hunger, Adam Hunger-USA TODAY Sports",Professional - usa today sports,,,,1
284,Adam Hunger USA TODAY Sports,Professional - usa today sports,,,,1
285,"(Photo: Andrew Harnik, AP)",Professional - ap,,,,1
286,"(Photo: Jasper Colt, USA TODAY)",Professional - usa today,,,,1
287,"Jarrad Henderson, USA TODAY",Professional - usa today,,,,4
288,"Jasper Colt, USA TODAY",Professional - usa today,,,,4
289,(Photo: Birmingham Police Department),Professional - police,,,,1
290,(Photo: SUBMITTED),Citizen - submitted,,,,1
291,"(Photo: John Bazemore, AP)",Professional - ap,,,,1
292,"(Photo: SUSAN TUSA / Susan Tusa, Detroit Free Press)",Professional - press,,,,1
293,"(Photo: Nelson Chenault, USA TODAY Sports)",Professional - usa today sports,,,,3
294,(Photo: Jason Towlen/Staff Photographer),Professional - staff,,,,1
295,No Credit,                              ,,,,6
296,"Bryan Woolston, AP, Bryan Woolston, AP",Professional - AP,,,,3
297,"Thomas B. Shea, Getty Images",Professional - getty,,,,3
298,"Gerald Herbert/Associated Press, Gerald Herbert/Associated Press",Professional - press,,,,3
299,"Thearon W. Henderson, Getty Images",Professional - getty,,,,3
300,Melina Myers-USA TODAY Sports,Professional - usa today sports,,,,3
301,"Mark J. Rebilas, USA TODAY Sports",Professional - usa today sports,,,,7
302,"Butch Dill, AP",Professional - AP,,,,2
303,"(Photo: SPIDI Technologies, LLC)",                              ,,,,2
304,"(Photo: SPIDI Technologies, LLC, and the SPIA Index)",                              ,,,,2
305,"(Photo: Bill Laitner, Detroit Free Press)",Professional - press,,,,1
306,"(Photo: Sean Gallup, Getty Images)",Professional - getty,,,,1
307,"(Photo: Patricia Beck, Detroit Free Press)",Professional - press,,,,3
308,(Photo: Sourced by Detroit Free Press),Professional - press,,,,2
309,(Photo: TLC),                              ,,,,1
310,"(Photo: Joel Bissell, Associated Press)",Professional - press,,,,1
311,"(Photo: Junfu Han, Junfu Han, Detroit Free Press)",Professional - press,,,,1
312,"Mandi Wright, Detroit Free Press",Professional - press,,,,15
313,"John David Mercer, John David Mercer-USA TODAY Spor",Professional - usa today,,,,4
314,Kirby Lee-USA TODAY Sports,Professional - usa today sports,,,,8
315,KIRTHMON F. DOZIER/DETROIT FREE PRESS,Professional - press,,,,4
316,Getty Images,Professional - getty,,,,4
317,Cheryl Evans/The Republic,Professional - the republic,,,,4
318,Gary A. Vasquez-USA TODAY Sports,Professional - usa today sports,,,,2
319,The Associated Press,Professional - press,,,,2
320,"Greg M. Cooper, USA TODAY Sports, Greg M. Cooper, USA TODAY Sports",Professional - usa today sports,,,,1
321,"(Photo: Mark Lennihan, AP)",Professional - ap,,,,1
322,"(Photo: WU HONG/EPA-EFE/REX, WU HONG/EPA-EFE/REX)",                              ,,,,1
323,"(Photo: Matthew Emmons, USA TODAY Sports)",Professional - usa today sports,,,,1
324,(Photo: Mark J. Rebilas-USA TODAY Sports),Professional - usa today sports,,,,1
325,(Photo: Photo courtesy of George Fleiner),                              ,,,,1
326,"Charlie Neibergall, AP",Professional - AP,,,,7
327,"(Photo: LUDOVIC MARIN, AFP/Getty Images)",Professional - getty,,,,1
328,(Photo: Frederick Bush),                              ,,,,1
329,"(Photo: CRISTINA QUICLER, AFP/Getty Images)",Professional - getty,,,,1
330,(Photo: Rick Osentoski-USA TODAY Sports),Professional - usa today sports,,,,1
331,"(Photo: Rick Osentoski, USA TODAY Sports)",Professional - usa today sports,,,,6
332,"(Photo: David Zalubowski, AP)",Professional - ap,,,,1
333,"(Photo: Jeffrey Becker, USA TODAY Sports)",Professional - usa today sports,,,,7
334,(Photo: Chemical Bank/TCF),Professional - tcf,,,,1
335,(Photo: Nick King/Lansing State Journal),Professional - state,,,,2
336,(Photo: Beaumont Health),                              ,,,,1
337,"(Photo: Damian Dovarganes, AP)",Professional - ap,,,,1
338,"(Photo: Eric Risberg, AP)",Professional - ap,,,,1
339,(Photo: CDC handout photo),Professional - cdc,,,,1
340,"(Photo: Teka77, Getty Images/iStockphoto)",Professional - getty,,,,1
341,(Photo: Ford Motor Co.),Professional - co.,,,,1
342,Ford Motor Co.,Professional - co.,,,,9
343,"(Photo: Rick Osentoski, Rick Osentoski-USA TODAY Sports)",Professional - usa today sports,,,,2
344,(Photo: Marlowe Alter),                              ,,,,1
345,(Photo: Detroit Police Department),Professional - police,,,,3
346,(Photo: Kathy Vargo),                              ,,,,1
347,(Photo: J.P. Cormier),                              ,,,,1
348,"(Photo: TIMOTHY A. CLARY, AFP/Getty Images)",Professional - getty,,,,2
349,"(Photo: Daymon J. Hartley, Special to the Free Press)",Professional - press,,,,1
350,"(Photo: Gabriel B. Tait, Detroit Free Press)",Professional - press,,,,1
351,"(Photo: ERIC SEALS, Detroit Free Press)",Professional - press,,,,1
352,"(Photo: MARCIN SZCZEPANSKI, Detroit Free Press)",Professional - press,,,,1
