Index,Source,P/C,,,,Count
272,Rodrigo Balfanz / Courtesy,                              ,,,,5
273,Steve Helber / AP,Professional - AP,,,,3
274,Michael Mayo/Sun Sentinel,Professional - sun sentinel,,,,1
275,Gary Friedman/Los Angeles Times,Professional - times,,,,1
276,Wilfredo Lee / Associated Press,Professional - press,,,,1
277,Courtesy: Citizens Property Insurance Corp.,                              ,,,,1
278,Univ. of Utah College of Law,Professional - law,,,,1
279,Matt Sayles/AP,Professional - AP,,,,1
280,Broward courts,                              ,,,,2
281,Richard Drew/AP,Professional - AP,,,,1
282,handout,Citizen - handout,,,,1
283,Baltimore Police Department,Professional - police,,,,1
284,Gerald Herbert / AP,Professional - AP,,,,1
285,Courtesy of Orange County Fire Rescue,Professional - county,,,,1
286,Stepehn Hudak / Orlando Sentinel,Professional - orlando sentinel,,,,1
287,Stephen Hudak / Orlando Sentinel,Professional - orlando sentinel,,,,1
288,Mike Stocker / South Florida Sun Sentinel,Professional - sun sentinel,,,,3
289,Joe Raedle / Getty Images / Getty Images,Professional - getty,,,,1
290,Andy Lyons/Getty Images,Professional - getty,,,,1
291,"Broward County Crime Stoppers, courtesy",Professional - county,,,,1
292,"Kelsoe family, courtesy",Citizen - family,,,,1
293,"Sue Kolcz, courtesy",                              ,,,,1
294,"Lee County, Florida, Sheriff's Office",Professional - sherif,,,,1
295,Metro police Dept.,Professional - police,,,,1
296,"City of Hollywood, courtesy",Professional - city,,,,2
297,Amy Beth Bennett/South Florida Sun Sentinel,Professional - sun sentinel,,,,4
298,"Chief Chris O'Brien, courtesy",                              ,,,,2
299,Kathy Willens/AP,Professional - AP,,,,2
300,Florida International University via Facebook,Professional - international,,,,1
301,Dan Sweeney / South Florida Sun Sentinel,Professional - sun sentinel,,,,1
302,Amy Beth Bennett / South Florida Sun Sentinel,Professional - sun sentinel,,,,2
303,Alex Gallardo/AP,Professional - AP,,,,1
304,Patriots,Professional - patriots,,,,1
305,moodboard / Getty Images/moodboard RF,Professional - getty,,,,1
306,Maddie Meyer / Getty Images,Professional - getty,,,,1
307,Tim Rue/Bloomberg,Professional - bloomberg,,,,1
308,National Park Service / Courtesy,Professional - service,,,,1
309,Kent County Michigan Sheriff's Office,Professional - sherif,,,,2
310,Pablo Martinez Monsivais / AP,Professional - AP,,,,1
311,"Courtesy JC Ridley, Miami Athletics",Professional - athletics,,,,1
312,Veza Sur / Courtesy,                              ,,,,2
313,Royal Pig Pub / Courtesy,                              ,,,,2
314,El Vez / Courtesy,                              ,,,,2
315,LuLu's Bait Shack / Courtesy,                              ,,,,2
316,American Social / Courtesy,Professional - american,,,,2
317,Grato / Courtesy,                              ,,,,2
318,Richard Marcus Photography / Courtesy,                              ,,,,2
319,Wynwood Kitchen and Bar,                              ,,,,2
320,Amy Harris / Amy Harris/Invision/AP,Professional - AP,,,,1
321,Adam Lichtenstein / Sun Sentinel,Professional - sun sentinel,,,,2
322,Via Don Chaney Jr.'s Twitter account,Citizen - twitter,,,,1
323,Susana Gonzalez / Bloomberg,Professional - bloomberg,,,,1
324,Gregory Smith / AP,Professional - AP,,,,1
325,Joe Cavaretta/South Florida Sun Sentinel,Professional - sun sentinel,,,,6
326,"U.S. Coast Guard, courtesy",Professional - coast guard,,,,1
327,Jaafar Ashtiyeh/AFP/Getty Images,Professional - getty,,,,1
328,Austin Police Department,Professional - police,,,,1
329,Monica Herndon/TNS,Professional - tns,,,,1
330,Chris Dofort,                              ,,,,1
331,Lauderhill Police/Sun Sentinel photo illustration,Professional - police,,,,1
332,Carline Jean / South Florida Sun Sentinel,Professional - sun sentinel,,,,3
333,WPEC-CBS12 / Courtesy,                              ,,,,1
334,AP Photo/Steven Senne,Professional - ap,,,,1
335,Broward Schools,Professional - school,,,,1
336,MCT,Professional - getty,,,,1
337,Courtesy of Florida Commission on Human Relations,                              ,,,,1
338,David Roth / Courtesy,                              ,,,,2
339,Miami Beach Police /  Courtesy,Professional - police,,,,1
340,Michael Reynolds / EPA-EFE / REX,                              ,,,,1
341,Jeffrey T. Barnes / AP,Professional - AP,,,,1
342,Wilfredo Lee / AP,Professional - AP,,,,5
343,MARK CORNELISON / TNS,Professional - tns,,,,1
344,(Steve Svekis),                              ,,,,1
345,Patrick T. Fallon / For The Times,Professional - times,,,,1
346,Steven Cannon/Associated Press,Professional - press,,,,1
347,Daniel Slim/AFP/Getty Images,Professional - getty,,,,1
348,Rudy Gutierrez/The El Paso Times,Professional - times,,,,1
349,Ryan M. Kelly / Getty Images,Professional - getty,,,,1
350,Marty Lederhandler / AP,Professional - AP,,,,1
351,Frazer Harrison / Getty Images,Professional - getty,,,,1
352,Photo courtesy James Shaw,                              ,,,,1
353,DAVID SANTIAGO / TNS,Professional - tns,,,,1
354,Sun Sentinel,Professional - sun sentinel,,,,5
355,Alex Edelman/Getty Images,Professional - getty,,,,1
356,Eastern Virginia Medical School,Professional - school,,,,1
357,Steve Helber/AP,Professional - AP,,,,1
358,Mark Randall / Sun Sentinel file photo,Professional - file,,,,1
359,Marta Mikulan Martin / Sun Sentinel file photo,Professional - file,,,,1
360,Ra-Haus/Courtesy,                              ,,,,1
361,D.L. Sherman/Courtesy,                              ,,,,1
362,Feadship,                              ,,,,1
363,Marcio Jose Sanchez / Associated Press,Professional - press,,,,1
364,Joe Skipper / AP,Professional - AP,,,,1
365,Lannis Waters / Palm Beach Post,Professional - palm beach post,,,,1
366,Photo provided,Professional - state,,,,1
367,Phillip Valys / Sun Sentinel,Professional - sun sentinel,,,,2
368,"Taimy Alvarez, South Florida Sun Sentinel",Professional - sun sentinel,,,,1
369,Pablo Martinez Monsivais/AP,Professional - AP,,,,2
370,Joe Raedle,Professional - getty,,,,1
371,Tim Stepien / The Coastal Star / Pool,                              ,,,,2
372,Palm Beach County Sheriff's Office / courtesy,Professional - sherif,,,,4
373,Jerry Lower/ Pool Photo / The Coastal Star,                              ,,,,2
374,Paul Sancya / AP file photo,Professional - file,,,,1
375,Andrew Harrer / Bloomberg,Professional - bloomberg,,,,1
376,foto de archivo,                              ,,,,1
377,Sean Rayford/Getty Images,Professional - getty,,,,1
378,"Courtesy Austin Sapin, Miami athletics",Professional - athletics,,,,2
379,Stephen M. Dowell / Orlando Sentinel,Professional - orlando sentinel,,,,2
380,Courtesy Gulfstream Park,                              ,,,,1
381,Michelob Ultra,Professional - ap,,,,1
382,Evan Agostini/Invision/AP,Professional - AP,,,,1
383,Jordan Strauss/Invision/AP,Professional - AP,,,,1
384,Photos of former Bears quarterback Jay Cutler.,                              ,,,,1
385,Tiziana Fabi / AFP/Getty Images,Professional - getty,,,,1
386,Carolyn Kaster / AP file,Professional - file,,,,1
387,"FDOT, courtesy",                              ,,,,1
388,Mike Stocker / Sun Sentinel,Professional - sun sentinel,,,,3
389,Sergei Chirikov / EPA/Shutterstock,Professional - epa,,,,1
390,HBO / Courtesy,Professional - hbo,,,,1
391,Alex Brandon / AP,Professional - AP,,,,1
392,Leon County Sheriff's Office,Professional - sherif,,,,1
393,Tamarac Fire Rescue,                              ,,,,1
394,Elaine Thompson / AP,Professional - AP,,,,1
395,Charles Rabin/Miami Herald/courtesy,Professional - miami herald,,,,1
396,Rashida Sol / Courtesy,                              ,,,,1
397,Laid Fresh / Courtesy,                              ,,,,1
398,Mark Boster / Los Angeles Times,Professional - times,,,,1
399,Michael Holahan / AP,Professional - AP,,,,1
400,Kathy Willens / AP,Professional - AP,,,,1
401,Chuck Burton / AP file photo,Professional - file,,,,1
402,Mamta Popat/Arizona Daily Star,Professional - arizona daily star,,,,1
403,Seth Wenig / AP,Professional - AP,,,,1
404,Jerry Lower/The Coastal Star/Pool photo,                              ,,,,2
405,Mark Wilson/Getty Images,Professional - getty,,,,2
406,Art Seitz / courtesy,                              ,,,,2
407,Photo provided by Bryan Crawford,                              ,,,,1
408,Pedro Portal/Miami Herald,Professional - miami herald,,,,1
409,Temple Street Eatery / Courtesy,                              ,,,,2
410,GoBistro / Courtesy,                              ,,,,1
411,Lucky's Market / Courtesy,                              ,,,,1
412,Claire Perez / Sun Sentinel,Professional - sun sentinel,,,,1
413,Ichimi Ramen / Courtesy,                              ,,,,1
414,Pubbelly Noodle Bar / Courtesy,                              ,,,,1
415,Joe Burbank/Orlando Sentinel,Professional - orlando sentinel,,,,1
416,Jacek Gancarz/Courtesy,                              ,,,,1
417,Sean Gardner / Getty Images,Professional - getty,,,,1
418,Giorgio Viera / EFE/Pool,                              ,,,,1
419,Brynn Anderson / AP file,Professional - file,,,,1
420,"(Taimy Alvarez	, Joe Cavaretta)",                              ,,,,2
421,Marco Bello/Getty Images,Professional - getty,,,,1
422,Robert Gauthier / Los Angeles Times,Professional - times,,,,1
423,(Jemal R. Brinson / Chicago Tribune),Professional - chicago,,,,2
424,Rudy Gutierrez / AP,Professional - AP,,,,1
425,scyther5/iStock,Professional - istock,,,,1
426,(Randi Stevenson),                              ,,,,1
427,(Darcel Rockett),                              ,,,,1
428,Patrick Connolly / Orlando Sentinel,Professional - orlando sentinel,,,,5
429,Mike Pont / FilmMagic,                              ,,,,1
430,Sean Drakes / Getty Images,Professional - getty,,,,1
431,Winslow Townson / AP,Professional - AP,,,,1
432,Ben Margot / AP,Professional - AP,,,,1
433,Screengrab of the University of Farmington website,Professional - university,,,,1
434,Yvonne Valdez / El Sentinel,                              ,,,,1
435,"Olympia Theater, FLIFF, Sun Sentinel",Professional - sun sentinel,,,,1
436,Mike Coppola/AFP/Getty Images,Professional - getty,,,,1
437,Handout/Courtesy JW Marriott Miami Turnberry Resort & Spa,Citizen - handout,,,,1
438,WABC-TV / AP,Professional - AP,,,,1
439,FDOT,                              ,,,,1
440,Ariana Grande Instagram / Twitter,Citizen - twitter,,,,1
441,Anne-Marie Caruso / AP,Professional - AP,,,,1
442,Julián Gentilezza on Unsplash,Professional - unsplash,,,,1
443,Handout/Courtesy Turnberry Ocean Club,Citizen - handout,,,,1
444,Joe Lingeman,                              ,,,,1
445,Nick Ut / Associated Press,Professional - press,,,,1
446,Jeff Lewis/AP,Professional - AP,,,,1
447,Chicago Police Department,Professional - chicago,,,,1
448,Hulu,Professional - hulu,,,,2
449,Los Angeles Museum of the Holocaust / CNG,Professional - museum,,,,1
450,Francine Orr / Los Angeles Times,Professional - times,,,,1
451,Jay L. Clendenin / Los Angeles Times,Professional - times,,,,1
452,Gary Coronado / Los Angeles Times,Professional - times,,,,1
453,"Sheriff's photo, Mike Stocker; Sean Zukowsky, provided by BSO.",Professional - sherif,,,,1
454,David Paul Morris / Bloomberg,Professional - bloomberg,,,,1
455,Al Seib / Los Angeles Times,Professional - times,,,,1
456,Carolyn Cole / Los Angeles Times,Professional - times,,,,1
457,Steven Senne / Associated Press,Professional - press,,,,1
458,Bob Feather / Courtesy,                              ,,,,1
459,Universal Orlando / Courtesy photo,                              ,,,,3
460,Pool photo,Professional - ap,,,,1
461,Jabin Botsford / The Washington Post,Professional - washington post,,,,1
462,Matt Rourke / AP,Professional - AP,,,,1
463,Joe Raedle / Getty Images,Professional - getty,,,,2
464,Patrick Hamilton/ AFP/Getty Images,Professional - getty,,,,1
465,Jenny Evans/Getty Images,Professional - getty,,,,1
466,Matt Campbell / European Pressphoto Agency,Professional - press,,,,1
467,Richard Shotwell / Richard Shotwell/Invision/AP,Professional - AP,,,,1
468,St. Louis Police Department,Professional - police,,,,1
469,ANDY NEWMAN / AP,Professional - AP,,,,1
470,Bella Panini Grill.,                              ,,,,1
471,Carnival Cruise Line,                              ,,,,1
472,Wendy's/Courtesy,                              ,,,,1
473,Dreamstime,Professional - dreamstime,,,,1
474,St. Johns County Sheriff's Office,Professional - sherif,,,,1
475,Photos of alligators in Florida.,                              ,,,,1
476,"Mike Stocker, South Florida Sun- / Sun Sentinel",Professional - sun sentinel,,,,1
477,Miami Fire Rescue via the Miami Herald,Professional - miami herald,,,,1
478,Taimy Alvarez/South Florida Sun Sentinel,Professional - sun sentinel,,,,1
479,Chris Graythen / Getty Images,Professional - getty,,,,1
480,Palm Beach County Sheriff's Office / Courtesy,Professional - sherif,,,,1
