Index,Source,P/C,,,,Count
330,(Photo: Oldham County Jail),Professional - jail,,,,1
331,"(Photo: Matt Stone, Louisville Courier Journal)",Professional - journal,,,,1
332,"BRETT COOMER, Houston Chronicle via AP",Professional - AP,,,,3
333,"LOREN ELLIOTT, Getty Images",Professional - getty,,,,6
334,(Photo: James Weber/The Enquirer),Professional - enquirer,,,,1
335,(Photo: Provided by Logan Street Market),                              ,,,,2
336,Marty Pearl/Special to CJ,                              ,,,,7
337,(Photo: Michael Clevenger/Louisville Courier Journal),Professional - journal,,,,1
338,(Photo: Metropolitan Sewer District),                              ,,,,1
339,David R. Lutman/Special to Courier Journal,Professional - journal,,,,1
340,"(Photo: Michael Reynolds, epa-efe)",                              ,,,,1
341,"(Photo: Bryan Woolston, @woolstonphoto)",                              ,,,,1
